column,label,dtype,n_nonmiss,miss_rate,year_coverage,min,max,mean,top5,domains,roles
year,年份,float64,86294,0.0,"2010,2012,2014,2016,2018,2020,2022",2010.0,2022.0,2015.6709620599347,2016.0:13642; 2014.0:13597; 2018.0:13503; 2010.0:13317; 2012.0:12107,,covariate
fid22,2022家庭样本编码,float64,9806,0.8864,2022,100051.0,6769401.0,412866.10157046706,100051.0:1; 594440.0:1; 440563.0:1; 440565.0:1; 440569.0:1,,
fid20,2020家庭样本编码,float64,20128,0.7668,"2020,2022",100051.0,6929111.0,406132.54188195546,450199.0:6; 320190.0:5; 230429.0:4; 620499.0:4; 220155.0:4,,
fid18,2018家庭样本编码,float64,33631,0.6103,"2018,2020,2022",100051.0,6759191.0,395593.8089857572,441838.0:9; 440632.0:9; 440261.0:8; 130311.0:8; 220021.0:7,,
fid16,2016家庭样本编码,float64,47273,0.4522,"2016,2018,2020,2022",100051.0,2845312.0,367861.2085122586,620173.0:12; 140146.0:12; 330313.0:12; 441838.0:12; 410650.0:12,,
fid14,2014家庭样本编码,float64,60870,0.2946,"2014,2016,2018,2020,2022",100051.0,2781941.0,376336.17847872514,410568.0:17; 440560.0:16; 130851.0:15; 620982.0:15; 410917.0:14,,
fid12,2012家庭样本编码,float64,72977,0.1543,"2012,2014,2016,2018,2020,2022",100453.0,997793.0,385731.52500102774,130896.0:21; 430382.0:18; 411022.0:17; 410568.0:17; 430545.0:17,,
fid10,2010家庭样本编码,float64,86294,0.0,"2010,2012,2014,2016,2018,2020,2022",110001.0,621872.0,379291.7709458363,610063.0:24; 130896.0:22; 620260.0:22; 410917.0:20; 440648.0:19,,
pid,财务回答人,float64,86294,0.0,"2010,2012,2014,2016,2018,2020,2022",100051501.0,6401241701.0,379449985.14574593,230595101.0:7; 130148101.0:7; 230133102.0:7; 230134101.0:7; 620650101.0:7,,covariate
hhicd,RECODE of fa1 (社区性质（访员填写）),float64,37430,0.5663,"2014,2016,2018,2020",0.0,1.0,0.7113812449906493,1.0:26627; 0.0:10803,,
hhicd4,RECODE of fa1 (社区性质（访员填写）),float64,37430,0.5663,"2014,2016,2018,2020",0.0,1.0,0.7113812449906493,1.0:26627; 0.0:10803,,
icd,,float64,60870,0.2946,"2014,2016,2018,2020,2022",0.0,1.0,0.6548710366354527,1.0:39862; 0.0:21008,,
provcd,22年省国标码,float64,86292,0.0,"2010,2012,2014,2016,2018,2020,2022",11.0,65.0,37.680271635841095,62.0:9421; 41.0:9344; 21.0:8356; 44.0:8135; 31.0:5990,D1_urban_overinvest,lambda_proxy
countyid,22年区县顺序码,float64,86132,0.0019,"2010,2012,2014,2016,2018,2020,2022",1.0,9992.0,379.55441647703526,92.0:1070; 110.0:787; 46.0:771; 145.0:744; 162.0:726,,
urban,基于国家统计局资料的城乡分类,float64,84860,0.0166,"2010,2012,2014,2016,2018,2020,2022",0.0,1.0,0.5026749941079425,1.0:42657; 0.0:42203,D1_urban_overinvest,lambda_proxy
lnconsume,家庭总支出对数,float64,82803,0.0405,"2010,2012,2014,2016,2018,2020,2022",0.0,15.894952224644102,10.570259605433426,9.90353755128617:671; 10.308985993422082:652; 10.819798284210286:510; 10.596659732783579:500; 9.210440366976517:358,,
lnincome,家庭总收入对数,float64,82642,0.0423,"2010,2012,2014,2016,2018,2020,2022",0.0,16.588099342704055,10.339864223635274,10.819798284210286:1502; 11.002116507732017:1492; 10.308985993422082:1406; 11.51293546492023:1214; 10.596659732783579:1163,D3_996_work,covariate
expense_p,家庭人均支出,float64,82803,0.0405,"2010,2012,2014,2016,2018,2020,2022",0.0,800.0,2.160323666186503,1.0:595; 0.5:402; 2.0:330; 1.5:287; 0.75:254,,
income_p,家庭人均收入,float64,82642,0.0423,"2010,2012,2014,2016,2018,2020,2022",0.0,688.6,2.131701988616528,1.0:1159; 2.0:1132; 3.0:890; 1.5:754; 2.5:723,D3_996_work,covariate
total_asset,家庭净资产（元）,float64,82286,0.0464,"2010,2012,2014,2016,2018,2020,2022",-7991.637500000001,8013.0,55.693192840769,0.0:280; 1.0:192; 3.0:171; 5.0:156; 10.0:156,D8_luxury_house_car,
