column,role,total_N,y2010,y2012,y2014,y2016,y2018,y2020,y2022
pid,key,86294,13317,12107,13597,13642,13503,10322,9806
year,key,86294,13317,12107,13597,13642,13503,10322,9806
fid10,key,86294,13317,12107,13597,13642,13503,10322,9806
age,covariate,86271,13317,12107,13596,13626,13498,10322,9805
gender,covariate,86293,13317,12107,13597,13641,13503,10322,9806
gen,covariate,86293,13317,12107,13597,13641,13503,10322,9806
eduy,covariate,83564,13317,12105,13593,12404,12909,10148,9088
educ,covariate,85116,13317,12105,13009,13075,13491,10314,9805
edu,covariate,85700,13317,12105,13593,13075,13491,10314,9805
marrige,covariate,85473,13313,12105,13597,13641,13201,10071,9545
mar,covariate,85474,13314,12105,13597,13641,13201,10071,9545
hukou,lambda_proxy,85025,13296,12056,13237,13499,13187,10041,9709
rural,lambda_proxy,85025,13296,12056,13237,13499,13187,10041,9709
res,lambda_proxy,85025,13296,12056,13237,13499,13187,10041,9709
communist,lambda_proxy,56622,13317,44,74,13641,11993,9033,8520
minzu,covariate,16282,13283,887,586,392,545,372,217
familysize,covariate,86294,13317,12107,13597,13642,13503,10322,9806
fml,covariate,86294,13317,12107,13597,13642,13503,10322,9806
size,covariate,86294,13317,12107,13597,13642,13503,10322,9806
child_num,covariate,72977,0,12107,13597,13642,13503,10322,9806
child_p,covariate,77336,12182,11034,12329,12290,11851,9079,8571
elder_num,covariate,72977,0,12107,13597,13642,13503,10322,9806
child_gender,lambda_proxy,78192,12658,11487,12354,12175,11992,9064,8462
medsure_dum,covariate,86294,13317,12107,13597,13642,13503,10322,9806
provcd,covariate,86292,13317,12106,13597,13642,13502,10322,9806
city,covariate,77187,13317,11961,12571,12084,11455,8364,7435
code,covariate,77187,13317,11961,12571,12084,11455,8364,7435
provname,covariate,86294,13317,12107,13597,13642,13503,10322,9806
cityname,covariate,86294,13317,12107,13597,13642,13503,10322,9806
urban,lambda_proxy,84860,13317,12062,13484,13337,13303,9941,9416
lnincome,covariate,82642,12573,10812,12364,13262,13503,10322,9806
lnconsume,covariate,82803,11730,10398,13587,13642,13468,10242,9736
fincome1,covariate,83155,12573,10938,12407,13606,13503,10322,9806
fincome1_per,covariate,83155,12573,10938,12407,13606,13503,10322,9806
income_p,covariate,82642,12573,10812,12364,13262,13503,10322,9806
expense,covariate,82803,11730,10398,13587,13642,13468,10242,9736
expense_p,covariate,82803,11730,10398,13587,13642,13468,10242,9736
pce,covariate,78659,11846,10693,12036,13642,12252,9200,8990
qn12012,sweet_DV,84328,13292,12003,12993,13508,13128,9978,9426
qn12016,sweet_DV,84110,13281,11907,12953,13482,13114,9959,9414
qn1101,covariate,81353,12450,11536,12373,13133,12861,9760,9240
eexp,treatment,85594,13196,11968,13516,13582,13384,10216,9732
school,treatment,85594,13196,11968,13516,13582,13384,10216,9732
eec,treatment,84856,13142,11930,12942,13642,13325,10172,9703
qn10021,covariate,70707,0,11894,12962,13427,13113,9936,9375
workhour,treatment,41528,3483,0,9161,3572,9729,7992,7591
gongzi,sweet_DV,20889,3576,0,3367,1808,4069,3992,4077
fwage,covariate,86243,13266,12107,13597,13642,13503,10322,9806
wage,lambda_proxy,51580,13307,11877,8156,3546,5032,4790,4872
jobclass,covariate,49597,0,30,10753,11218,10598,8747,8251
worknature,covariate,64614,7339,7261,10753,11218,10783,8889,8371
workplace,lambda_proxy,32108,0,3641,5415,5922,5975,5570,5585
industry,covariate,37722,7280,3610,5091,5571,5646,5242,5282
bianzhi,covariate,5643,0,0,0,1709,1346,1299,1289
job,covariate,86294,13317,12107,13597,13642,13503,10322,9806
agri,covariate,86291,13316,12107,13597,13642,13503,10320,9806
qg401,sweet_DV,42288,3605,0,0,11132,10578,8734,8239
qg402,sweet_DV,42294,3607,0,0,11135,10579,8732,8241
qg403,sweet_DV,42292,3606,0,0,11132,10579,8735,8240
qg404,sweet_DV,42290,3607,0,0,11133,10579,8732,8239
qg405,sweet_DV,23909,3523,0,0,8780,3622,3939,4045
qg406,sweet_DV,53015,3605,0,10719,11135,10581,8736,8239
qq4010,bitter_outcome,26880,0,0,3432,3597,3228,7433,9190
food,treatment,84365,12429,11575,13444,13573,13408,10206,9730
dress,covariate,84841,13062,11891,13350,13488,13293,10099,9658
daily,covariate,83970,12951,11815,13266,13641,12985,9880,9432
mexp,bitter_outcome,85401,13137,11895,13455,13640,13380,10179,9715
med,covariate,85401,13137,11895,13455,13640,13380,10179,9715
health,bitter_outcome,85948,13315,12105,13590,13641,13416,10214,9667
unhealth,bitter_outcome,85948,13315,12105,13590,13641,13416,10214,9667
weak,bitter_outcome,86294,13317,12107,13597,13642,13503,10322,9806
qp401,bitter_outcome,84351,13312,12040,13006,13516,13111,9960,9406
qq201,covariate,84347,13284,12044,13006,13518,13124,9959,9412
dw,sweet_DV,83991,13242,11899,12952,13462,13088,9950,9398
resivalue,treatment,85966,13311,12088,13597,13642,13384,10221,9723
house,covariate,83785,13224,11685,12732,13642,13105,9918,9479
mortage,treatment,85866,13298,11973,13597,13608,13414,10237,9739
mor,treatment,19976,0,0,0,0,0,10237,9739
h_loan,lambda_proxy,84977,13317,10790,13597,13642,13503,10322,9806
house_debts,bitter_outcome,85287,13306,12055,13028,13601,13414,10190,9693
total_asset,wealth,82206,12881,11811,12830,13177,12792,9523,9192
Asset,wealth,82286,12893,11811,12832,13206,12794,9541,9209
asset,wealth,79904,12609,11584,12414,12713,12487,9217,8880
savings,bitter_outcome,85983,13212,12090,13597,13642,13450,10252,9740
sav,wealth,85983,13212,12090,13597,13642,13450,10252,9740
cas,wealth,85983,13212,12090,13597,13642,13450,10252,9740
finance_asset,wealth,85562,13179,12044,13512,13592,13378,10182,9675
fin,wealth,72474,0,12044,13512,13592,13469,10182,9675
Esta,wealth,59648,0,0,13028,13598,13290,10109,9623
esta,wealth,58786,0,0,12844,13381,13128,9954,9479
Est,wealth,72588,0,12057,13597,13639,13379,10206,9710
est,wealth,72588,0,12057,13597,13639,13379,10206,9710
Hast,wealth,60870,0,0,13597,13642,13503,10322,9806
hast,wealth,60870,0,0,13597,13642,13503,10322,9806
Land,wealth,85821,13311,12053,13578,13617,13473,10111,9678
land,wealth,85821,13311,12053,13578,13617,13473,10111,9678
land_asset,wealth,85821,13311,12053,13578,13617,13473,10111,9678
houseasset_gross,wealth,72588,0,12057,13597,13639,13379,10206,9710
fixed_asset,wealth,72447,0,12086,13524,13548,13381,10205,9703
durables_asset,wealth,71923,0,12106,13597,13396,13206,10019,9599
fxzc,wealth,29634,13317,12107,642,731,741,1040,1056
fd,lambda_proxy,6940,0,0,1052,1292,1520,1503,1573
company,wealth,85858,13261,12087,13524,13575,13406,10259,9746
qtqk,lambda_proxy,86294,13317,12107,13597,13642,13503,10322,9806
nonhousing_debts,bitter_outcome,85318,13269,12022,13027,13614,13433,10222,9731
nhd,bitter_outcome,72049,0,12022,13027,13614,13433,10222,9731
Nhd,bitter_outcome,72049,0,12022,13027,13614,13433,10222,9731
limit,lambda_proxy,65231,13317,12107,9859,8890,8231,6542,6285
debt_p,bitter_outcome,5509,0,675,648,917,1192,1046,1031
internet,covariate,72476,13316,0,13007,13518,13157,10022,9456
mobile,covariate,46153,0,0,0,13518,13157,10022,9456
computer,covariate,46153,0,0,0,13518,13157,10022,9456
onlineshopoping,covariate,28075,0,0,3065,5105,6561,6442,6902
social,covariate,57579,0,0,10939,13536,13326,10134,9644
Soc,covariate,57579,0,0,10939,13536,13326,10134,9644
soc,covariate,57579,0,0,10939,13536,13326,10134,9644
qn10022,covariate,70993,0,11968,12983,13484,13137,9994,9427
qn10023,covariate,69373,0,11491,12644,13273,12876,9796,9293
qn10024,covariate,70765,0,11909,12942,13459,13106,9951,9398
qn10025,covariate,70730,0,11917,12959,13440,13080,9944,9390
qn10026,covariate,70955,0,11956,12979,13483,13130,9985,9422
人均GDP,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
财政支出占GDP比重,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
二产增加值亿,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
三产增加值亿,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
产业结构指数,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
城镇化水平,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
社会消费额占GDP比重,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
高等学校在校生人数占比,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
邮电业务占GDP比重,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
工业总产值占GDP比重,macro_context,86294,13317,12107,13597,13642,13503,10322,9806
