"tip_label","case_id","species_binomial","phylum","class","delta_st_proxy_case","delta_st_proxy_species_mean"
"Acropora_millepora","C63","Acropora / Pocillopora spp.","Cnidaria","Anthozoa",0.55,0.575
"Acropora_millepora","B07","Acropora / coral larvae","Cnidaria","Anthozoa",0.6,0.575
"Aedes_aegypti","C54","Aedes aegypti","Arthropoda","Insecta",0.7,0.7
"Alces_alces","B01","Alces alces","Chordata","Mammalia",0.65,0.65
"Alligator_mississippiensis","C39","Alligator mississippiensis","Chordata","Reptilia",0.55,0.55
"Ambystoma_maculatum","B21","Ambystoma / Rana spp.","Chordata","Amphibia",0.6,0.575
"Ambystoma_maculatum","C12","Ambystoma maculatum","Chordata","Amphibia",0.55,0.575
"Anax_ephippiger","B24","Anax / Sympetrum spp.","Arthropoda","Insecta",0.65,0.65
"Anolis_cristatellus","C01","Anolis cristatellus","Chordata","Reptilia",0.55,0.55
"Antilocapra_americana","B02","Antilocapra americana","Chordata","Mammalia",0.6,0.6
"Apis_mellifera","C36","Apis mellifera","Arthropoda","Insecta",0.65,0.69
"Apis_mellifera","A08","Apis mellifera / Bombus terrestris","Arthropoda","Insecta",0.8,0.69
"Apis_mellifera","C61","Apis mellifera","Arthropoda","Insecta",0.65,0.69
"Apis_mellifera","C27","Apis mellifera","Arthropoda","Insecta",0.7,0.69
"Apis_mellifera","C44","Apis mellifera","Arthropoda","Insecta",0.65,0.69
"Aplysia_californica","C06","Aplysia californica","Mollusca","Gastropoda",0.5,0.5
"Argiope_bruennichi","C05","Argiope / Larinioides spp.","Arthropoda","Arachnida",0.55,0.55
"Bombus_terrestris","A16","Bombus spp.","Arthropoda","Insecta",0.7,0.7
"Bufo_bufo","B11","Bufo bufo","Chordata","Amphibia",0.65,0.65
"Caenorhabditis_elegans","B09","Caenorhabditis elegans","Nematoda","Chromadorea",0.7,0.6625
"Caenorhabditis_elegans","C42","Caenorhabditis elegans","Nematoda","Chromadorea",0.7,0.6625
"Caenorhabditis_elegans","B08","Caenorhabditis elegans","Nematoda","Chromadorea",0.65,0.6625
"Caenorhabditis_elegans","C41","Caenorhabditis elegans","Nematoda","Chromadorea",0.6,0.6625
"Calidris_canutus","B30","Calidris canutus","Chordata","Aves",0.75,0.75
"Calopteryx_amata","C35","Calopteryx / Libellula spp.","Arthropoda","Insecta",0.65,0.65
