pubmed_id,year,journal,phylum_candidate,phylum_bucket,title,authors_first3,doi,query_label,title_boost,triage_score,triage,pub_types,year_weight
41818492,2026,Adv Sci (Weinh),Arthropoda (Drosophila),Arthropoda (Drosophila),Sulfakinin Signaling Sense Circulating Fructose and Suppresses Food Consumption via Insulin-Like Peptide in Bactrocera Dorsalis.,Li HF; Dong B; Ren ZL,10.1002/advs.202514748,Q-arthropod-drosophila,0,0.33,pending,Journal Article,1.1
40580960,2025,Curr Biol,Arthropoda (Drosophila),Arthropoda (Drosophila),Ecdysteroid-DopEcR signaling in neuronal and midgut cells mediates toxin avoidance and detoxification in Drosophila.,Saito K; Kanno M; Tanimoto H,10.1016/j.cub.2025.06.023,Q-arthropod-drosophila,0,0.33,pending,Journal Article,1.1
40782068,2025,J Agric Food Chem,Arthropoda (Drosophila),Arthropoda (Drosophila),A Token Stimulus Receptor Tuned to Gluconapin in the Cabbage White Butterfly.,Fan XB; Cao LL; Xu X,10.1021/acs.jafc.5c05474,Q-arthropod-drosophila,0,0.33,pending,Journal Article,1.1
39442845,2024,Int J Biol Macromol,Arthropoda (Drosophila),Arthropoda (Drosophila),The gustatory receptor BdorGr43a mediated sucrose preference in the feeding of Bactrocera dorsalis.,Dong B; Li H; Guo H,10.1016/j.ijbiomac.2024.136774,Q-arthropod-drosophila,0,0.33,pending,Journal Article,1.1
36347251,2022,Curr Biol,Arthropoda (Drosophila),Arthropoda (Drosophila),Identification of a GABAergic neuroblast lineage modulating sweet and bitter taste sensitivity.,Zhao Y; Duan J; Han Z,10.1016/j.cub.2022.10.029,Q-arthropod-drosophila,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
34264948,2021,PLoS Genet,Arthropoda (Drosophila),Arthropoda (Drosophila),Identification of a gustatory receptor tuned to sinigrin in the cabbage butterfly Pieris rapae.,Yang J; Guo H; Jiang NJ,10.1371/journal.pgen.1009527,Q-arthropod-drosophila,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
34911758,2021,Proc Natl Acad Sci U S A,Arthropoda (Drosophila),Arthropoda (Drosophila),Requirement for an Otopetrin-like protein for acid taste in Drosophila.,Ganguly A; Chandel A; Turner H,10.1073/pnas.2110641118,Q-arthropod-drosophila,0,0.33,pending,"Journal Article;Research Support, N.I.H., Extramural",1.1
28684466,2017,J Exp Biol,Arthropoda (Drosophila),Arthropoda (Drosophila),Pharyngeal stimulation with sugar triggers local searching behavior in Drosophila.,Murata S; Brockmann A; Tanimura T,10.1242/jeb.161646,Q-arthropod-drosophila,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
26512069,2016,Chem Senses,Arthropoda (Drosophila),Arthropoda (Drosophila),Behavioral Analysis of Bitter Taste Perception in Drosophila Larvae.,Kim H; Choi MS; Kang K,10.1093/chemse/bjv061,Q-arthropod-drosophila,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
27098705,2016,J Neurosci,Arthropoda (Drosophila),Arthropoda (Drosophila),The Unique Dopamine/Ecdysteroid Receptor Modulates Ethanol-Induced Sedation in Drosophila.,Petruccelli E; Li Q; Rao Y,10.1523/JNEUROSCI.3774-15.2016,Q-arthropod-drosophila,0,0.33,pending,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",1.1
25702577,2015,Curr Biol,Arthropoda (Drosophila),Arthropoda (Drosophila),"Drosophila sugar receptors in sweet taste perception, olfaction, and internal nutrient sensing.",Fujii S; Yavuz A; Slone J,10.1016/j.cub.2014.12.058,Q-arthropod-drosophila,0,0.255,pending,"Journal Article;Research Support, N.I.H., Extramural",0.85
25825777,2015,Proc Natl Acad Sci U S A,Arthropoda (Drosophila),Arthropoda (Drosophila),Candidate ionotropic taste receptors in the Drosophila larva.,Stewart S; Koh TW; Ghosh AC,10.1073/pnas.1503292112,Q-arthropod-drosophila,0,0.255,pending,"Journal Article;Research Support, N.I.H., Extramural",0.85
