case,spec_id,dv,treatment,controls,fe,sample,waves_or_lag,branch,n,beta,se,p,ci_lo,ci_hi,is_focal_broad,is_focal_narrow
C13,1,dw,mortgage_burden_w,minimal,person_year,all,pid,sweet,81011,0.0037496659236441,0.0443024386973526,0.9325492574914134,-0.08308311392316699,0.0905824457704552,False,False
C13,2,dw,mortgage_burden_w,minimal,person_year,all,provcd,sweet,81010,0.0037650661390704,0.0464718343825988,0.9354274483441548,-0.08731972925082325,0.09484986152896406,False,False
C13,3,dw,mortgage_burden_w,minimal,person_year_province,all,pid,sweet,81010,0.0241496132517302,0.0440692505612028,0.5836971389177406,-0.062226117848227284,0.11052534435168768,False,False
C13,4,dw,mortgage_burden_w,minimal,person_year_province,all,provcd,sweet,81010,0.0241496132517302,0.0632383993627357,0.702548812131278,-0.09979764949923178,0.14809687600269217,False,False
C13,5,dw,mortgage_burden_w,demog,person_year,all,pid,sweet,80990,0.0653669365242576,0.0445100716721239,0.141944697304898,-0.021872803953105258,0.15260667700162045,False,False
C13,6,dw,mortgage_burden_w,demog,person_year,all,provcd,sweet,80989,0.0653799358346044,0.0451963409391644,0.1480157508297858,-0.02320489240615782,0.15396476407536663,False,False
C13,7,dw,mortgage_burden_w,demog,person_year_province,all,pid,sweet,80989,0.0676683804675678,0.0442105991118197,0.1258703096307738,-0.018984393791598816,0.1543211547267344,False,False
C13,8,dw,mortgage_burden_w,demog,person_year_province,all,provcd,sweet,80989,0.0676683804675678,0.0556313843266017,0.2238437773692596,-0.04136913281257153,0.17670589374770712,False,False
C13,9,dw,mortgage_burden_w,extended,person_year,all,pid,sweet,80983,0.0650993241628951,0.04451686089873,0.1436447536002238,-0.022153723198615694,0.1523523715244059,False,False
C13,10,dw,mortgage_burden_w,extended,person_year,all,provcd,sweet,80982,0.0651119028392019,0.0452761420478814,0.150403909664713,-0.023629335574645638,0.15385314125304944,False,False
C13,11,dw,mortgage_burden_w,extended,person_year_province,all,pid,sweet,80982,0.0652702239375269,0.0442179264910828,0.1399161830291964,-0.02139691198499538,0.1519373598600492,False,False
