iso3,country,sigma_st,tau_env_internet,tau_env_gdp_doubling,gelfand_tightness,cantril,cantril_residual,suicide,internet_latest,tau_ratio_internet_gelfand,tau_ratio_gdp_gelfand,log_tau_ratio
MHL,Marshall Islands,2.1912,12.0000,41.8760,,,,,65.9158,,,
KIR,Kiribati,2.0017,14.0000,84.0729,,,,20.3210,89.4403,,,
PLW,Palau,1.9858,20.0000,1126.5965,,,,,83.9255,,,
JPN,Japan,1.8990,7.0000,105.0627,8.6000,5.9526,-0.5642,14.1922,85.5415,0.8140,12.2166,-0.2059
FSM,"Micronesia, Fed. Sts.",1.8982,,97.5213,,,,21.3177,39.5236,,,
VUT,Vanuatu,1.8026,,417.7124,,,,18.3851,22.3514,,,
ERI,Eritrea,1.7500,,,,,,20.3877,14.3494,,,
LSO,Lesotho,1.7455,,36.4213,,3.6825,-0.1708,36.9450,51.7966,,,
VIR,Virgin Islands (U.S.),1.5851,20.0000,,,,,,64.3775,,,
GUY,Guyana,1.5620,15.0000,15.6059,,,,32.0279,83.0008,,,
BMU,Bermuda,1.3884,9.0000,197.1581,,,,,98.3700,,,
CUW,Curacao,1.3728,,,,,,,68.1272,,,
SWZ,Eswatini,1.3059,15.0000,36.0704,,4.3060,-0.4095,32.3563,63.4031,,,
SOM,"Somalia, Fed. Rep.",1.2097,,39.3169,,5.0602,,15.6442,27.9402,,,
USA,United States,1.1609,8.0000,49.8632,5.1000,6.9546,0.4183,13.5159,94.6938,1.5686,9.7771,0.4502
HKG,"Hong Kong SAR, China",1.1364,9.0000,31.3581,6.3000,5.4388,,,95.7554,1.4286,4.9775,0.3567
ZWE,Zimbabwe,1.0962,,,,3.5083,-0.9093,24.0057,41.6428,,,
NZL,New Zealand,1.0949,7.0000,50.6809,3.9000,7.2723,,11.3099,93.5193,1.7949,12.9951,0.5849
KOR,"Korea, Rep.",1.0828,5.0000,16.8549,10.0000,5.8808,-0.6439,20.5366,97.8956,0.5000,1.6855,-0.6931
SLB,Solomon Islands,1.0151,,310.8596,,,,23.1216,29.0407,,,
ABW,Aruba,0.9589,10.0000,,,,,,97.1700,,,
CAF,Central African Republic,0.8901,,,,3.0837,0.1716,20.3826,13.7825,,,
TON,Tonga,0.8488,16.0000,47.0738,,,,5.3701,67.4417,,,
SUR,Suriname,0.8386,15.0000,192.6156,,6.2690,0.6388,26.7818,87.4000,,,
ZAF,South Africa,0.8209,18.0000,102.2029,,4.8716,-0.2864,19.7297,78.3576,,,
WSM,Samoa,0.7651,,39.6219,,,,14.8720,21.2000,,,
LBN,Lebanon,0.7324,13.0000,24.4621,,4.4316,-1.1927,0.7512,80.6340,,,
HTI,Haiti,0.7114,,,,3.6910,,9.7133,47.8614,,,
LKA,Sri Lanka,0.6675,,18.6789,,4.3935,-1.1889,14.2450,54.5900,,,
FRO,Faroe Islands,0.6370,6.0000,42.3717,,,,,97.5820,,,
FJI,Fiji,0.5734,17.0000,64.2034,,,,9.6201,74.7052,,,
CPV,Cabo Verde,0.5690,15.0000,15.2826,,,,16.5572,74.7352,,,
LTU,Lithuania,0.5590,10.0000,28.1496,,6.1869,0.0360,22.1552,89.1612,,,
COM,Comoros,0.5079,,256.3413,,4.1101,-0.2587,9.2933,32.5175,,,
MWI,Malawi,0.5011,,45.3731,,3.6883,-0.2257,13.2733,18.9616,,,
PRT,Portugal,0.4897,14.0000,68.3924,7.8000,5.6556,-0.6770,7.7236,88.4870,1.7949,8.7683,0.5849
TGO,Togo,0.4193,,149.9344,,3.9282,-0.1040,15.9176,39.4832,,,
DJI,Djibouti,0.4190,11.0000,,,,,10.4214,65.2989,,,
SSD,South Sudan,0.4175,,,,3.2693,,12.0239,6.6710,,,
BWA,Botswana,0.4099,,47.5683,,3.5837,-1.7256,12.5097,57.4595,,,
GRC,Greece,0.4038,15.0000,166.9275,3.9000,5.5027,-0.7306,3.6432,86.2697,3.8462,42.8019,1.3471
TTO,Trinidad and Tobago,0.3866,15.0000,21.8666,,6.1824,,11.8301,82.1599,,,
IND,India,0.3724,14.0000,17.1638,11.0000,4.0162,-0.9803,14.2964,64.9435,1.2727,1.5603,0.2412
SLE,Sierra Leone,0.3618,,1157.0716,,4.0970,0.0791,9.6011,25.1050,,,
AUS,Australia,0.3577,8.0000,45.5337,4.4000,7.2200,0.6009,12.0916,96.1314,1.8182,10.3486,0.5978
