topic,variable_harmonized,za_code,year,country,value_wmean,value_z,n_cell
CumulationFamily,family_suffers_ftj,ZA10000,2021.0,PH,2.6852348993288593,-1.566470768408911,1490
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,AU,3.6449511400651464,0.5196632216952973,614
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,BG,3.2673702726473177,-0.30108383675716527,1137
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,CH,3.236691236691237,-0.3677708187785477,2442
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,CZ,3.33974358974359,-0.14376604805819287,1248
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,DK,4.257902298850575,1.8520343876089185,1392
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,FI,4.311475409836065,1.9684861918387961,1220
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,IT,2.877521613832853,-1.1484973779987444,694
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,JP,3.8013392857142856,0.859603937961329,1344
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,NO,3.971830985915493,1.2302015330874978,355
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,PL,3.5212962962962964,0.25087484271640426,1080
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,RU,2.8911917098445596,-1.1187827074247316,1544
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,SE,4.169909208819715,1.660763918051326,1542
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,SI,3.3,-0.23015663929092214,990
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,SK,3.176980198019802,-0.49756462872943685,808
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,TW,3.763613068545804,0.7775985069676399,1561
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,US,3.7490942028985508,0.7460388669002233,1104
CumulationFamily,family_suffers_ftj,ZA10000,2022.0,ZA,3.1336059986366736,-0.5918470715870068,2934
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,AT,3.2195340501792113,-0.405065373604289,1116
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,AU,3.6566037735849055,0.5449925365781499,265
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,DE,3.5907284768211922,0.40179948653499054,1510
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,FR,3.9075829383886256,1.0905456326717646,2110
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,GR,3.40990990990991,0.008754394179187459,1332
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,HU,2.9042033235581624,-1.0904993789971247,1023
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,IL,3.29156010230179,-0.24850243434356148,1173
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,IT,2.971223021582734,-0.944818745367005,417
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,NO,3.9527363184079602,1.188695478249203,804
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,NZ,3.4114114114114114,0.012018206111839028,999
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,TH,3.2228298017771704,-0.3979014024849008,1463
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,TW,4.006451612903226,1.3054563465961448,155
CumulationFamily,family_suffers_ftj,ZA10000,2023.0,ZA,3.042682926829268,-0.7894864388614367,164
CumulationFamily,family_suffers_ftj,ZA10000,2024.0,GR,3.16,-0.534474463891372,50
CumulationFamily,family_suffers_ftj,ZA10000,2024.0,HR,2.798710601719198,-1.3198087762915112,1396
CumulationFamily,family_suffers_ftj,ZA10000,2024.0,IN,2.4229843561973525,-2.136524445452245,1662
CumulationFamily,family_suffers_ftj,ZA10000,2024.0,IS,3.909242298084929,1.0941525807646841,1201
