country,n_traj,n_topics,tau_env_issp_abs,span_mean,n_waves_mean,n_asp_traj,tau_env_issp_signed,tau_env_issp_signed_median,delta_z_aspirational,delta_z_asp_sum,n_asp_traj_2w,tau_env_issp_signed_2w,delta_z_asp_2w,tau_env_issp,n_vars_latest,asp_level_latest,latest_year,n_vars_any,asp_level_mean,n_waves,sigma_st,tau_adapt_composite_z,log_tau_env_internet
AR,,,,,,,,,,,,,,,6,-0.3506267012311645,2012.0,15,0.12958523057312252,3,-0.2188,-0.20058107422028704,2.6390573296152584
AT,9.0,2.0,0.03177740462994956,25.0,3.888888888888889,9.0,-0.010715350278230945,0.002032597830654085,-0.24071441810226707,-2.1664297629204037,12.0,-0.00145247344999783,-0.014845392703998725,-0.010715350278230945,3,0.20025248116166014,2021.0,22,-0.11883273823166551,13,-0.022,0.20864143760777434,2.302585092994046
AU,10.0,2.0,0.017083296374100644,22.8,3.5,9.0,0.006886973378873304,0.011073328435636463,0.18418223248258225,1.6576400923432404,16.0,0.009973849618084568,0.1716368719685421,0.006886973378873304,3,0.9127020256610511,2021.0,21,0.03611072094689918,13,0.3577,-0.7286321863767458,2.0794415416798357
BE,,,,,,,,,,,8.0,0.01136478732587868,0.11364787325878681,,2,0.22886439057562102,2015.0,20,0.010790248507103504,7,0.2894,0.7400568314538175,2.0794415416798357
BG,9.0,2.0,0.0475954319843482,22.0,3.3333333333333335,9.0,-0.02464303980895483,-0.030507054683274908,-0.4803770386082538,-4.323393347474284,12.0,-0.029466492864485067,-0.46730231003269435,-0.02464303980895483,5,-0.15354214280449507,2019.0,21,-0.1511929167143029,11,0.0505,,2.833213344056216
BR,,,,,,,,,,,,,,,6,-0.3608100904075702,2002.0,6,-0.3608100904075702,1,-0.4733,-0.30760767580872833,2.6390573296152584
BY,,,,,,,,,,,,,,,1,1.7153243500304787,1997.0,1,1.7153243500304787,1,,,
CA,,,,,,,,,,,9.0,-0.0027765308221386117,-0.03932460399991839,,6,0.04671706937421096,2012.0,13,-0.016945836234648504,6,0.0708,-0.7515625122969277,1.6094379124341003
CH,4.0,3.0,0.019387123280450502,25.5,3.0,3.0,0.022289366794764984,0.024459098342080106,0.6398457334234567,1.9195372002703701,15.0,0.03350001794512516,0.41839059254641303,0.022289366794764984,3,0.465233561503358,2021.0,21,0.21450779767570707,11,0.198,,1.6094379124341003
CL,3.0,1.0,0.023668901110071413,20.0,3.0,3.0,0.001429565498065901,-0.005374935920040036,0.028591309961318048,0.08577392988395414,10.0,0.0009849723765344555,0.014138420259542284,0.001429565498065901,5,0.14516749399370235,2019.0,21,-0.209372355400708,8,0.1409,0.026037347765904884,2.6390573296152584
CN,,,,,,,,,,,3.0,0.04048540843725715,0.4048540843725715,,3,0.6638245208452751,2021.0,15,0.13035391460827597,5,-0.05,0.5097108314410926,2.70805020110221
CY,,,,,,,,,,,4.0,0.05488479892247097,0.47597164873455483,,4,-1.2119620423612398,2009.0,17,-0.5012869501387268,6,0.2446,,2.6390573296152584
CZ,11.0,3.0,0.025700547802370067,21.454545454545453,3.272727272727273,10.0,0.01116474530834358,0.009671474096813413,0.31020692896712715,3.1020692896712716,16.0,0.0005530225131672581,0.11203762841738624,0.01116474530834358,3,-0.1558313752268737,2021.0,21,0.02567668105524831,13,-0.4889,0.5514158514407161,2.1972245773362196
