protein,domain_arch_pfam,has_gpcr_classA,has_gpcr_classC,has_VFT_ANF,has_insect_7TM_Gr,has_NCD3G
DRD1_ggallus,7tm_1(PF00001),True,False,False,False,False
DRD1_hsapiens,7tm_1(PF00001),True,False,False,False,False
DRD1_mmusculus,7tm_1(PF00001),True,False,False,False,False
DRD1_rnorvegicus,7tm_1(PF00001),True,False,False,False,False
DRD1_xtropicalis,7tm_1(PF00001),True,False,False,False,False
DRD2_ggallus,7tm_1(PF00001);7tm_1(PF00001),True,False,False,False,False
DRD2_hsapiens,7tm_1(PF00001),True,False,False,False,False
DRD2_mmusculus,7tm_1(PF00001),True,False,False,False,False
DRD2_rnorvegicus,7tm_1(PF00001),True,False,False,False,False
DRD2_xtropicalis,7tm_1(PF00001),True,False,False,False,False
DopR1_aaegypti,7tm_1(PF00001),True,False,False,False,False
DopR1_amellifera,7tm_1(PF00001),True,False,False,False,False
DopR1_bmori,7tm_1(PF00001),True,False,False,False,False
DopR1_dmelanogaster,7tm_1(PF00001),True,False,False,False,False
DopR1_msexta,7tm_1(PF00001),True,False,False,False,False
DopR1_tcastaneum,7tm_1(PF00001),True,False,False,False,False
DopR2_aaegypti,7tm_1(PF00001),True,False,False,False,False
DopR2_amellifera,7tm_1(PF00001),True,False,False,False,False
DopR2_bmori,7tm_1(PF00001),True,False,False,False,False
DopR2_dmelanogaster,7tm_1(PF00001),True,False,False,False,False
DopR2_msexta,7tm_1(PF00001),True,False,False,False,False
DopR2_tcastaneum,7tm_1(PF00001),True,False,False,False,False
DopR_1_acalifornica,7tm_1(PF00001),True,False,False,False,False
DopR_1_adigitifera,7tm_1(PF00001),True,False,False,False,False
DopR_1_cgigas,7tm_1(PF00001);7tm_1(PF00001),True,False,False,False,False
DopR_1_hvulgaris,7tm_1(PF00001),True,False,False,False,False
DopR_1_nvectensis,7tm_1(PF00001);7tm_1(PF00001),True,False,False,False,False
DopR_1_obimaculoides,7tm_1(PF00001),True,False,False,False,False
DopR_2_acalifornica,7tm_1(PF00001),True,False,False,False,False
DopR_2_adigitifera,7tm_1(PF00001),True,False,False,False,False
DopR_2_cgigas,7tm_1(PF00001),True,False,False,False,False
DopR_2_hvulgaris,7tm_1(PF00001),True,False,False,False,False
DopR_2_nvectensis,7tm_1(PF00001);7tm_1(PF00001),True,False,False,False,False
DopR_2_obimaculoides,7tm_1(PF00001),True,False,False,False,False
DopR_3_adigitifera,7tm_1(PF00001),True,False,False,False,False
DopR_3_cgigas,7tm_1(PF00001),True,False,False,False,False
DopR_3_hvulgaris,7tm_1(PF00001),True,False,False,False,False
DopR_3_nvectensis,7tm_1(PF00001);7tm_1(PF00001),True,False,False,False,False
DopR_3_obimaculoides,7tm_1(PF00001),True,False,False,False,False
Gr5a_dmelanogaster,Lipase(PF00151),False,False,False,False,False
Gr64a_dmelanogaster,Trehalose_recp(PF06151),False,False,False,True,False
Gr64b_dmelanogaster,Trehalose_recp(PF06151),False,False,False,True,False
Gr64c_dmelanogaster,Trehalose_recp(PF06151),False,False,False,True,False
Gr64d_dmelanogaster,Trehalose_recp(PF06151),False,False,False,True,False
Gr64e_dmelanogaster,Trehalose_recp(PF06151),False,False,False,True,False
Gr64f_dmelanogaster,Trehalose_recp(PF06151),False,False,False,True,False
TAS1R1_drerio,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R1_ggallus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R1_hsapiens,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R1_mmusculus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R1_rnorvegicus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R2_hsapiens,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R2_mmusculus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R2_rnorvegicus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R3_drerio,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R3_ggallus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R3_hsapiens,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R3_mmusculus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
TAS1R3_rnorvegicus,ANF_receptor(PF01094);NCD3G(PF07562);7tm_3(PF00003),False,True,True,False,False
Gr_sweet_hit1_aaegypti,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit1_amellifera,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit1_bmori,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit1_msexta,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit1_tcastaneum,Trehalose_recp(PF06151);Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit2_aaegypti,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit2_amellifera,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit2_bmori,Trehalose_recp(PF06151);Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit2_msexta,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit2_tcastaneum,Trehalose_recp(PF06151);Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit3_aaegypti,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit3_amellifera,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit3_bmori,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit3_msexta,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit3_tcastaneum,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit4_aaegypti,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit4_amellifera,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit4_bmori,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit4_msexta,Trehalose_recp(PF06151);Trehalose_recp(PF06151);Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit4_tcastaneum,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit5_aaegypti,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit5_bmori,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit5_msexta,Trehalose_recp(PF06151);7tm_7(PF08395),False,False,False,True,False
Gr_sweet_hit5_tcastaneum,Trehalose_recp(PF06151);Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit6_aaegypti,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit6_bmori,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit6_msexta,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit6_tcastaneum,Trehalose_recp(PF06151);Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit7_aaegypti,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit7_msexta,Trehalose_recp(PF06151),False,False,False,True,False
Gr_sweet_hit7_tcastaneum,Trehalose_recp(PF06151),False,False,False,True,False
