protein,database,accession,name,interpro,interpro_name,start,end,evalue
DRD1_ggallus,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,17,365,
DRD1_ggallus,GENE3D,G3DSA:1.20.1070.10,,,,15,355,8.6e-85
DRD1_ggallus,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,39,334,4.3e-67
DRD1_ggallus,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,16,350,
DRD1_ggallus,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,32,348,0.0018
DRD1_hsapiens,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,17,347,
DRD1_hsapiens,GENE3D,G3DSA:1.20.1070.10,,,,17,354,4.8e-86
DRD1_hsapiens,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,40,331,1.1e-68
DRD1_hsapiens,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,21,356,
DRD1_hsapiens,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,33,345,0.00015
DRD1_mmusculus,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,11,347,
DRD1_mmusculus,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,17,362,
DRD1_mmusculus,GENE3D,G3DSA:1.20.1070.10,,,,17,355,1.9e-83
DRD1_mmusculus,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,32,345,0.0015
DRD1_mmusculus,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,39,331,2.8e-67
DRD1_rnorvegicus,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,18,362,
DRD1_rnorvegicus,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,39,331,2.4e-67
DRD1_rnorvegicus,GENE3D,G3DSA:1.20.1070.10,,,,17,355,1.4e-83
DRD1_rnorvegicus,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,11,347,
DRD1_rnorvegicus,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,32,345,0.0022
DRD1_xtropicalis,GENE3D,G3DSA:1.20.1070.10,,,,15,357,7.1e-85
DRD1_xtropicalis,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,16,350,
DRD1_xtropicalis,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,32,348,0.00044
DRD1_xtropicalis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,39,334,5.2e-66
DRD1_xtropicalis,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,16,365,
DRD2_ggallus,GENE3D,G3DSA:1.20.1070.10,,,,385,488,4.5e-29
DRD2_ggallus,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,22,488,
DRD2_ggallus,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,213,471,6.7e-28
DRD2_ggallus,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,48,172,1.2e-34
DRD2_ggallus,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,42,486,2.2e-06
DRD2_ggallus,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,2,488,
DRD2_ggallus,GENE3D,G3DSA:1.20.1070.10,,,,10,317,2.1e-57
DRD2_hsapiens,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,28,443,
DRD2_hsapiens,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,51,426,2.4e-70
DRD2_hsapiens,GENE3D,G3DSA:1.20.1070.10,,,,332,443,3.8e-29
DRD2_hsapiens,GENE3D,G3DSA:1.20.1070.10,,,,19,257,3.5e-55
DRD2_hsapiens,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,45,441,8.8e-08
DRD2_hsapiens,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,11,443,
DRD2_mmusculus,GENE3D,G3DSA:1.20.1070.10,,,,22,257,1.3e-55
DRD2_mmusculus,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,45,442,1.2e-07
DRD2_mmusculus,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,10,444,
DRD2_mmusculus,GENE3D,G3DSA:1.20.1070.10,,,,341,444,8.9e-29
DRD2_mmusculus,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,26,444,
DRD2_mmusculus,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,51,427,1.4e-69
DRD2_rnorvegicus,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,45,442,1.2e-07
DRD2_rnorvegicus,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,51,427,1.4e-69
DRD2_rnorvegicus,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,11,444,
DRD2_rnorvegicus,GENE3D,G3DSA:1.20.1070.10,,,,341,444,8.9e-29
DRD2_rnorvegicus,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,28,444,
DRD2_rnorvegicus,GENE3D,G3DSA:1.20.1070.10,,,,18,257,1.4e-55
DRD2_xtropicalis,GENE3D,G3DSA:1.20.1070.10,,,,323,442,4.6e-30
DRD2_xtropicalis,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,17,442,
DRD2_xtropicalis,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,16,442,
DRD2_xtropicalis,GENE3D,G3DSA:1.20.1070.10,,,,3,251,9.9e-56
DRD2_xtropicalis,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,39,440,1.1e-07
DRD2_xtropicalis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,45,425,5e-71
DopR1_aaegypti,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,56,386,
DopR1_aaegypti,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,75,364,1.6e-62
DopR1_aaegypti,GENE3D,G3DSA:1.20.1070.10,,,,56,388,3.2e-83
DopR1_aaegypti,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,69,379,5e-05
DopR1_aaegypti,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,55,386,
DopR1_amellifera,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,1,263,
DopR1_amellifera,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,2,277,
DopR1_amellifera,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,2,247,6.9e-50
DopR1_amellifera,GENE3D,G3DSA:1.20.1070.10,,,,1,272,5.4e-67
DopR1_bmori,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,29,350,
DopR1_bmori,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,23,351,
DopR1_bmori,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,46,343,7.1e-05
DopR1_bmori,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,52,328,1.7e-61
DopR1_bmori,GENE3D,G3DSA:1.20.1070.10,,,,34,348,9.6e-84
DopR1_dmelanogaster,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,111,454,
DopR1_dmelanogaster,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,100,455,
DopR1_dmelanogaster,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,139,446,1.7e-05
DopR1_dmelanogaster,GENE3D,G3DSA:1.20.1070.10,,,,125,452,6.3e-83
DopR1_dmelanogaster,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,145,431,1.2e-60
DopR1_msexta,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,46,343,3.6e-05
DopR1_msexta,GENE3D,G3DSA:1.20.1070.10,,,,33,348,3.6e-84
DopR1_msexta,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,52,328,1.5e-61
DopR1_msexta,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,29,350,
DopR1_msexta,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,32,351,
DopR1_tcastaneum,GENE3D,G3DSA:1.20.1070.10,,,,3,325,9e-84
DopR1_tcastaneum,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,21,305,1.5e-61
DopR1_tcastaneum,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,5,331,
DopR1_tcastaneum,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,15,320,7.2e-05
DopR1_tcastaneum,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,5,328,
DopR2_aaegypti,GENE3D,G3DSA:1.20.1070.10,,,,543,668,3.3e-29
DopR2_aaegypti,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,181,650,4e-67
DopR2_aaegypti,GENE3D,G3DSA:1.20.1070.10,,,,163,417,4.6e-58
DopR2_aaegypti,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,155,665,
DopR2_aaegypti,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,148,665,
DopR2_aaegypti,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,175,665,2e-08
DopR2_amellifera,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,182,440,
DopR2_amellifera,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,197,459,0.0038
DopR2_amellifera,GENE3D,G3DSA:1.20.1070.10,,,,179,411,7e-58
DopR2_amellifera,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,203,382,4.2e-51
DopR2_amellifera,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,185,378,
