species,rank,accession,evalue,score
amellifera,1,XP_006567793.3,9.90e-104,347.6
amellifera,2,XP_016767961.2,2.20e-100,336.6
amellifera,3,XP_016767964.1,4.30e-100,335.6
amellifera,4,XP_397125.5,1.40e-79,268.0
tcastaneum,1,XP_064212664.1,6.20e-180,598.5
tcastaneum,2,XP_008194199.3,4.50e-164,546.2
tcastaneum,3,XP_015835226.2,2.40e-91,306.7
tcastaneum,4,XP_064212686.1,2.30e-80,270.5
tcastaneum,5,XP_064212815.1,7.20e-80,268.9
tcastaneum,6,XP_064212814.1,1.90e-74,251.0
tcastaneum,7,XP_064212969.1,1.30e-57,195.5
aaegypti,1,XP_001647874.3,3.50e-117,392.1
aaegypti,2,XP_021709330.1,3.50e-111,372.4
aaegypti,3,XP_021706393.1,3.10e-99,333.0
aaegypti,4,XP_001647877.2,5.10e-96,322.4
aaegypti,5,XP_001647875.1,1.50e-93,314.3
aaegypti,6,XP_001661473.2,5.80e-92,309.0
aaegypti,7,XP_001647881.2,4.10e-88,296.4
msexta,1,XP_030022956.2,2.10e-86,290.6
msexta,2,XP_037300641.1,9.60e-80,268.6
msexta,3,XP_030022933.1,1.70e-60,205.2
msexta,4,XP_037300715.1,6.50e-53,180.2
msexta,5,XP_037300642.1,1.10e-51,176.1
msexta,6,XP_030022957.1,3.60e-42,144.9
msexta,7,XP_037300714.1,3.20e-35,121.9
bmori,1,XP_062528340.1,2.00e-80,271.1
bmori,2,XP_062528712.1,1.30e-72,245.3
bmori,3,XP_062528797.1,1.10e-61,209.3
bmori,4,XP_062528713.1,2.40e-57,195.0
bmori,5,NP_001091788.1,6.60e-53,180.4
bmori,6,NP_001124344.1,9.20e-35,120.6
