candidate,nearest_anchor,nearest_anchor_family,nearest_anchor_distance,k3_family_vote,k3_nearest,sister_family_majority,delta_d_next_other_family,final_call
XM_013085243.2__MollCnid_DopR_1_candidate__Aplysia_californica,NP_000675.1__ADRB1__Homo_sapiens,ADR,5.3195,TRUE_DRD,ADR:5.320;TRUE_DRD:5.391;TRUE_DRD:5.442,TRUE_DRD,0.072,NOT_DRD:ADR_low_confidence
XM_065817400.1__MollCnid_DopR_1_candidate__Hydra_vulgaris,NP_000675.1__ADRB1__Homo_sapiens,ADR,6.0391,TRUE_DRD,ADR:6.039;TRUE_DRD:6.111;TRUE_DRD:6.161,TRUE_DRD,0.072,NOT_DRD:ADR_low_confidence
XM_014930263.2__MollCnid_DopR_2_candidate__Octopus_bimaculoides,NP_000675.1__ADRB1__Homo_sapiens,ADR,7.3432,TRUE_DRD,ADR:7.343;TRUE_DRD:7.415;TRUE_DRD:7.465,NA,0.072,NOT_DRD:ADR_low_confidence
XM_014930272.2__MollCnid_DopR_3_candidate__Octopus_bimaculoides,NP_000675.1__ADRB1__Homo_sapiens,ADR,7.3432,TRUE_DRD,ADR:7.343;TRUE_DRD:7.415;TRUE_DRD:7.465,NA,0.072,NOT_DRD:ADR_low_confidence
XM_011432553.4__MollCnid_DopR_1_candidate__Crassostrea_gigas,NP_000612.1__HTR2A__Homo_sapiens,HTR,2.4818,HTR,HTR:2.482;HTR:2.573;HTR:3.284,HTR,1.093,NOT_DRD:HTR
XM_011432554.4__MollCnid_DopR_2_candidate__Crassostrea_gigas,NP_730859.1__5HT2A_Dmel__Drosophila_melanogaster,HTR,2.6837,HTR,HTR:2.684;HTR:2.758;HTR:2.850,HTR,0.799,NOT_DRD:HTR
XM_005099942.3__MollCnid_DopR_2_candidate__Aplysia_californica,XM_037445812.1__DopR2_invert_anchor__Manduca_sexta,TRUE_DRD,1.6777,TRUE_DRD,TRUE_DRD:1.678;TRUE_DRD:1.728;ADR:2.910,TRUE_DRD,1.233,TRUE_DRD
XM_014919809.2__MollCnid_DopR_1_candidate__Octopus_bimaculoides,XM_030168745.2__DopR1_invert_anchor__Manduca_sexta,TRUE_DRD,1.8627,TRUE_DRD,TRUE_DRD:1.863;TRUE_DRD:1.868;TRUE_DRD:1.889,TRUE_DRD,1.301,TRUE_DRD
XM_011436579.4__MollCnid_DopR_3_candidate__Crassostrea_gigas,XM_030168745.2__DopR1_invert_anchor__Manduca_sexta,TRUE_DRD,1.9739,TRUE_DRD,TRUE_DRD:1.974;TRUE_DRD:1.979;TRUE_DRD:2.001,TRUE_DRD,0.871,TRUE_DRD
XM_015919817.1__MollCnid_DopR_2_candidate__Acropora_digitifera,NP_000675.1__ADRB1__Homo_sapiens,ADR,4.7319,ADR,ADR:4.732;TRUE_DRD:4.804;OA:4.821,NA,0.072,NOT_DRD:ADR_low_confidence
XM_015918009.1__MollCnid_DopR_3_candidate__Acropora_digitifera,NP_000675.1__ADRB1__Homo_sapiens,ADR,3.8941,ADR,ADR:3.894;TRUE_DRD:3.966;OA:3.983,NA,0.072,NOT_DRD:ADR_low_confidence
XM_032375046.2__MollCnid_DopR_1_candidate__Nematostella_vectensis,NP_000675.1__ADRB1__Homo_sapiens,ADR,4.3616,ADR,ADR:4.362;TRUE_DRD:4.433;OA:4.451,NA,0.072,NOT_DRD:ADR_low_confidence
