cand_id	species	accession	class	top1_label	top1_family	top1_bitscore	top1_evalue	delta_top1_other_family	best_drd_family_bitscore	best_nondrd_family_bitscore	delta_drd_minus_nondrd	forward_best_anchor	forward_evalue	forward_bitscore	forward_pident	stitle
Adig_XP_015780793.1	Adig	XP_015780793.1	RBH_DRD_weak	DMEL_DOP1R1	inv_DRD	179.0	4.75e-55	3.0	179.0	176.0	3.0	DMEL_DOP1R1	5.43e-50	174	36.741	XP_015780793.1 PREDICTED: octopamine receptor-like [Acropora digitifera]
Adig_XP_015752479.1	Adig	XP_015752479.1	RBH_DRD_weak	DMEL_DOP1R1	inv_DRD	150.0	2.98e-44	5.0	150.0	145.0	5.0	DMEL_DOP1R1	8.83e-41	150	33.134	XP_015752479.1 PREDICTED: 5-hydroxytryptamine receptor 1A-beta-like [Acropora digitifera]
Adig_XP_015749073.1	Adig	XP_015749073.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	179.0	5.79e-55	8.0	155.0	179.0	-24.0	HUMAN_DRD3	7.47e-37	138	28.723	XP_015749073.1 PREDICTED: putative tyramine receptor 2 [Acropora digitifera]
Adig_XP_015773495.1	Adig	XP_015773495.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	171.0	1.78e-52	19.0	150.0	171.0	-21.0	DMEL_DOP1R1	4.27e-39	145	29.851	XP_015773495.1 PREDICTED: dopamine receptor 2-like [Acropora digitifera]
Adig_XP_015747381.1	Adig	XP_015747381.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	170.0	2.54e-51	9.0	161.0	170.0	-9.0	HUMAN_DRD1	1.83e-48	171	36.176	XP_015747381.1 PREDICTED: dopamine D2-like receptor [Acropora digitifera]
Adig_XP_015747376.1	Adig	XP_015747376.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	170.0	2.54e-51	9.0	161.0	170.0	-9.0	HUMAN_DRD1	1.83e-48	171	36.176	XP_015747376.1 PREDICTED: dopamine D2-like receptor [Acropora digitifera]
Adig_XP_015747372.1	Adig	XP_015747372.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	170.0	2.54e-51	9.0	161.0	170.0	-9.0	HUMAN_DRD1	1.83e-48	171	36.176	XP_015747372.1 PREDICTED: dopamine D2-like receptor [Acropora digitifera]
Adig_XP_015747365.1	Adig	XP_015747365.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	170.0	2.54e-51	9.0	161.0	170.0	-9.0	HUMAN_DRD1	1.83e-48	171	36.176	XP_015747365.1 PREDICTED: dopamine D2-like receptor [Acropora digitifera]
Adig_XP_015747357.1	Adig	XP_015747357.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	170.0	2.54e-51	9.0	161.0	170.0	-9.0	HUMAN_DRD1	1.83e-48	171	36.176	XP_015747357.1 PREDICTED: dopamine D2-like receptor [Acropora digitifera]
Adig_XP_015771718.1	Adig	XP_015771718.1	NOT_DRD:inv_OA	DMEL_OCTB2R	inv_OA	161.0	7.48e-48	1.0	154.0	161.0	-7.0	DMEL_DOP1R1	7.60e-42	153	32.407	XP_015771718.1 PREDICTED: octopamine receptor-like [Acropora digitifera]
Adig_XP_015759466.1	Adig	XP_015759466.1	NOT_DRD:inv_OA	DMEL_OCTB2R	inv_OA	156.0	1.87e-45	2.0	153.0	156.0	-3.0	DMEL_DOP1R1	3.80e-41	153	30.000	XP_015759466.1 PREDICTED: tyramine receptor 1-like [Acropora digitifera]
Adig_XP_015779107.1	Adig	XP_015779107.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	146.0	4.67e-43	6.0	140.0	146.0	-6.0	HUMAN_DRD3	9.88e-36	135	30.151	XP_015779107.1 PREDICTED: tyramine/octopamine receptor-like [Acropora digitifera]
Adig_XP_015779101.1	Adig	XP_015779101.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	146.0	4.67e-43	6.0	140.0	146.0	-6.0	HUMAN_DRD3	9.88e-36	135	30.151	XP_015779101.1 PREDICTED: tyramine/octopamine receptor-like [Acropora digitifera]
Adig_XP_015779091.1	Adig	XP_015779091.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	146.0	4.67e-43	6.0	140.0	146.0	-6.0	HUMAN_DRD3	9.88e-36	135	30.151	XP_015779091.1 PREDICTED: tyramine/octopamine receptor-like [Acropora digitifera]
Adig_XP_015779084.1	Adig	XP_015779084.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	146.0	4.67e-43	6.0	140.0	146.0	-6.0	HUMAN_DRD4	8.55e-34	130	28.266	XP_015779084.1 PREDICTED: tyramine/octopamine receptor-like [Acropora digitifera]
Hvul_XP_012562393.2	Hvul	XP_012562393.2	RBH_DRD_weak	DMEL_DOP1R1	inv_DRD	120.0	2.91e-33	5.0	120.0	115.0	5.0	DMEL_DOP1R1	6.66e-30	120	25.155	XP_012562393.2 octopamine receptor beta-2R [Hydra vulgaris]
Hvul_XP_012562068.2	Hvul	XP_012562068.2	RBH_DRD_weak	DMEL_DOP1R1	inv_DRD	115.0	1.72e-31	6.0	115.0	109.0	6.0	DMEL_DOP1R1	9.87e-28	114	26.121	XP_012562068.2 muscarinic acetylcholine receptor M1-like [Hydra vulgaris]
Hvul_XP_047135732.1	Hvul	XP_047135732.1	RBH_DRD_weak	HUMAN_DRD3	DRD	102.0	1.58e-27	2.200000000000003	102.0	99.8	2.200000000000003	HUMAN_DRD3	3.58e-24	102	24.370	XP_047135732.1 octopamine receptor beta-2R-like [Hydra vulgaris]
Hvul_XP_012561685.2	Hvul	XP_012561685.2	NOT_DRD:HTR	HUMAN_HTR1B	HTR	149.0	9.03e-45	24.0	112.0	149.0	-37.0	DMEL_DOP2R	4.44e-25	108	28.390	XP_012561685.2 muscarinic acetylcholine receptor M3 [Hydra vulgaris]
Hvul_XP_012561731.1	Hvul	XP_012561731.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	144.0	1.53e-42	25.0	117.0	144.0	-27.0	DMEL_DOP1R1	3.55e-28	115	26.488	XP_012561731.1 muscarinic acetylcholine receptor M3-like [Hydra vulgaris]
Hvul_XP_047133529.1	Hvul	XP_047133529.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	137.0	1.52e-40	18.0	107.0	137.0	-30.0	DMEL_DOP2R	7.91e-25	106	32.222	XP_047133529.1 muscarinic acetylcholine receptor M4-like [Hydra vulgaris]
Hvul_XP_012562943.1	Hvul	XP_012562943.1	NOT_DRD:HTR	HUMAN_HTR1A	HTR	132.0	8.41e-38	20.0	99.8	132.0	-32.2	HUMAN_DRD4	1.04e-27	113	23.433	XP_012562943.1 alpha-1A adrenergic receptor [Hydra vulgaris]
Hvul_XP_047145938.1	Hvul	XP_047145938.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	132.0	1.32e-37	12.0	103.0	132.0	-29.0	HUMAN_DRD3	3.38e-24	103	23.367	XP_047145938.1 alpha-1A adrenergic receptor-like [Hydra vulgaris]
Hvul_XP_047145375.1	Hvul	XP_047145375.1	NOT_DRD:HTR	HUMAN_HTR1A	HTR	130.0	5.53e-37	21.0	101.0	130.0	-29.0	HUMAN_DRD4	2.67e-24	103	21.925	XP_047145375.1 alpha-1A adrenergic receptor [Hydra vulgaris]
Hvul_XP_047135150.1	Hvul	XP_047135150.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	127.0	1.07e-35	0.0	127.0	127.0	0.0	HUMAN_DRD3	3.56e-32	127	25.845	XP_047135150.1 dopamine D2-like receptor [Hydra vulgaris]
Hvul_XP_047135149.1	Hvul	XP_047135149.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	127.0	1.07e-35	0.0	127.0	127.0	0.0	HUMAN_DRD3	3.56e-32	127	25.845	XP_047135149.1 dopamine D2-like receptor [Hydra vulgaris]
Hvul_XP_047143774.1	Hvul	XP_047143774.1	NOT_DRD:HTR	HUMAN_HTR1B	HTR	126.0	7.66e-36	17.0	109.0	126.0	-17.0	HUMAN_DRD3	2.72e-26	109	25.323	XP_047143774.1 muscarinic acetylcholine receptor M3 [Hydra vulgaris]
Hvul_XP_047143665.1	Hvul	XP_047143665.1	NOT_DRD:HTR	HUMAN_HTR2A	HTR	124.0	1.36e-34	4.0	120.0	124.0	-4.0	HUMAN_DRD1	3.56e-31	124	25.806	XP_047143665.1 muscarinic acetylcholine receptor M1 [Hydra vulgaris]
