gene,locus,trait_human,human_gwas_reference,sweet_trap_construct,cross_species_bridge,effect_direction_human,effect_size_human,mechanism,citation_pmid
TAS1R2,1p36.13,Sugar preference / BMI,Keskitalo 2007 AJCN; Chamoun 2018 Genes Nutr,C11 diet bitter,Drosophila Gr5a/Gr64a sweet receptors (A4),TAS1R2 rs35874116 T-allele -> higher sucrose intake & higher BMI,beta~0.03 SD BMI per allele; sucrose intake +2.1%,Heterodimer TAS1R2/TAS1R3 detects mono-/di-saccharides; Route A ancestral mismatch to industrial sugar,17684207
TAS1R3,1p36.33,Sweet taste sensitivity; obesity risk,Fushan 2009 Curr Biol; Eny 2010 Obesity,C11 diet bitter,Drosophila sweet receptor network (A4),TAS1R3 rs307355 C-allele -> reduced sweet sensitivity -> higher consumption,OR~1.15 obesity per risk allele in children,Same heterodimer; LoF variants associate with compensatory over-consumption,19208334
TAS2R38,7q34,Bitter taste; alcohol/vegetable intake,Duffy 2004 Alcohol Clin Exp Res,D_alcohol (partial),Bitter aversion protective; evolutionary toxin detection,PAV/AVI haplotype predicts alcohol aversion/preference,Reduced bitter perception -> 2-3x higher alcohol consumption,Non-taster AVI haplotype lowers barrier to alcohol initiation,15201626
DRD2,11q23.2,Reward sensitivity; addiction liability,Comings 1996; Le Foll 2009,C8 investment / C12 shortvideo,Olds-Milner electrode pathway (A6); rat NAc self-stim,DRD2 TaqI A1 allele (rs1800497) -> reduced D2 receptor density -> higher reward-seeking,OR~1.4 addiction per A1 allele,"""Reward deficiency syndrome"" - hypoactive D2 system seeks supernormal stimuli; Route B",Blum 2000 et seq
DRD4,11p15.5,Novelty seeking; ADHD; gambling,Ebstein 1996 Nat Genet; Comings 2001,C8 investment / C4 marriage market,Cross-species novelty-seeking (birds, rodents),DRD4-7R (48bp repeat) -> higher novelty seeking -> financial risk-taking,d~0.2 novelty seeking scale,7R variant associated with 3-4x gambling behaviour; possibly positive selection for exploration,8898904
SLC6A3 (DAT1),5p15.33,Dopamine transporter; ADHD; reward learning,Todd 2005; Genro 2008,C8 / C12 variable-ratio,Nucleus accumbens DA clearance (A5/A6),9R variant (VNTR) -> lower DAT density -> prolonged DA signaling,beta~0.15 SD impulsivity,Slower DA clearance = stronger reward signal persistence -> compulsive engagement,16301869
ADH1B,4q23,Alcohol metabolism; alcohol use,Bierut 2012 Nat Genet; GSCAN 2019,D_alcohol direct,Drosophila Adh / ethanol preference (A2),ADH1B rs1229984 His48 allele -> 40% faster alcohol oxidation -> aversive flush -> protection,OR~0.6 alcohol dependence per copy,Strong causal IV for alcohol use disorders; clear functional variant,22614440
ALDH2,12q24.12,Alcohol clearance; flushing response,GSCAN 2019; Sakiyama 2022,D_alcohol direct (East Asian),Drosophila Aldh parallel pathway,ALDH2*2 rs671 Lys504 -> acetaldehyde accumulation -> severe flush/nausea -> abstinence,OR~0.2 alcohol dependence (heterozygous); ~0.01 homozygous,"""Natural antabuse""; prevents most East Asian carriers from reaching hazardous use",
FTO,16q12.2,BMI; food intake; obesity risk,Frayling 2007 Science; Yengo 2018 HMG,C11 diet bitter,Rodent hypothalamic Fto knockout -> reduced food intake,FTO rs9939609 A-allele -> 1.2 kg higher weight per copy; ~1% obesity risk,beta=0.39 kg per copy; OR 1.31 obesity,"Hypothalamic appetite/satiety; FTO affects IRX3/IRX5 enhancer",17434896
MC4R,18q21.32,Severe obesity,Farooqi 2003 NEJM,C11 diet bitter,Melanocortin system conserved vertebrates,LoF -> 30kg higher adult BMI,OR 5-30 monogenic obesity,"Melanocortin 4 receptor - hypothalamic satiety",12646665
PER2,2q37.3,Circadian / insomnia,Hirano 2016 Cell,C12 shortvideo -> sleep,Drosophila per (circadian clock),PER2 variants affect sleep onset,beta~0.1 SD sleep onset,Circadian desynchrony pathway from screen light,27479910
CLOCK,4q12,Circadian; BMI link,Scott 2008 IJO,C12 shortvideo,Drosophila Clk,CLOCK 3111T/C affects BMI and sleep,beta~0.05 BMI,Evening exposure to reward-rich stimuli delays circadian phase,18339884
CADM2,3p12.1,Risk-taking; personality,Linner 2019 Nat Genet; Karlsson-Linner 2019,C8 investment / C4 marriage,Social behavior gene conserved,CADM2 rs4856591 -> general risk tolerance,beta~0.03 SD risk,Neural cell adhesion; prefrontal-striatal connectivity,30643258
CRHR1,17q21.31,Stress / depression,Liu 2006 Am J Psychiatry,C2 education / C13 housing stress,HPA axis conserved vertebrates,CRHR1 rs110402 moderates depression response,OR~1.3 MDD,"Corticotropin-releasing hormone receptor; HPA axis bitter-side amplifier",16847423
